muni_id,name,county,admin_region
09772156,Heretsried,,
09776131,Hergatz,,
09776115,Hergensweiler,,
09474135,Heroldsbach,,
09572131,Heroldsberg,,
09571166,Herrieden,,
09273127,Herrngiersdorf,,
09677458,Herrnwald,,
09188124,Herrsching am Ammersee,,
09574132,Hersbruck,,
09572132,Herzogenaurach,,
09474137,Hetzles,,
09572133,Heßdorf,,
09273454,Hienheimer Forst,,
09174147,Hilgertshausen-Tandern,,
09576127,Hilpoltstein,,
09772157,Hiltenfingen,,
09474138,Hiltpoltstein,,
09477121,Himmelkron,,
09272126,Hinterschmiding,,
09471145,Hirschaid,,
09371127,Hirschau,,
09371128,Hirschbach,,
09478127,Hochstadt am Main,,
09464000,Hof,,
09674149,Hofheim in Unterfranken,,
09275127,Hofkirchen,,
09181124,Hofstetten,,
09676455,Hohe Wart,,
09779162,Hohenaltheim,,
09272127,Hohenau,,
09479127,Hohenberg an der Eger,,
09184129,Hohenbrunn,,
09371129,Hohenburg,,
09373134,Hohenfels,,
09190129,Hohenfurch,,
09178133,Hohenkammer,,
09175123,Hohenlinden,,
09190130,Hohenpeißenberg,,
09177121,Hohenpolding,,
09274141,Hohenthann,,
09771140,Hollenbach,,
09472154,Hollfeld,,
09778151,Holzgünz,,
09779163,Holzheim,,
09775126,Holzheim,,
09773140,Holzheim,,
09375153,Holzheim am Forst,,
09182120,Holzkirchen,,
09679149,Holzkirchen (Würzburg),,
09777135,Hopferau,,
09772159,Horgau,,
09190131,Huglfing,,
09779167,Huisheim,,
09472155,Hummeltal,,
09678453,Hundelshausen,,
09278139,Hunderdorf,,
09271126,Hunding,,
09181126,Hurlach,,
09275128,Hutthurm,,
09773139,Höchstädt an der Donau,,
09479126,Höchstädt im Fichtelgebirge,,
09184127,Höhenkirchen-Siegertsbrunn,,
09178132,Hörgertshausen,,
09671130,Hösbach,,
09577141,Höttingen,,
09774143,Ichenhausen,,
09173130,Icking,,
09190132,Iffeldorf,,
09271127,Iggensbach,,
09181127,Igling,,
09273133,Ihrlerstein,,
09775129,Illertissen,,
09575133,Illesheim,,
09371131,Illschwang,,
09377127,Immenreuth,,
09780124,Immenstadt im Allgäu,,
09771141,Inchenhofen,,
09190133,Ingenried,,
09161000,Ingolstadt,,
09272128,Innernzell,,
09188126,Inning am Ammersee,,
09177122,Inning am Holz,,
09571169,Insingen,,
09189124,Inzell,,
09675139,Iphofen,,
09575134,Ippesheim,,
09575135,Ipsheim,,
09374127,Irchenrieth,,
09278140,Irlbach,,
09182123,Irschenberg,,
09679453,Irtenberger Wald,,
09177123,Isen,,
09184130,Ismaning,,
09473138,Itzgrund,,
09173131,Jachenau,,
09272129,Jandelsbrunn,,
09777140,Jengen,,
09179130,Jesenwang,,
09183122,Jettenbach am Inn,,
09774144,Jettingen-Scheppach,,
09186132,Jetzendorf,,
09277126,Johanniskirchen,,
09277127,Julbach,,
09671134,Kahl am Main,,
09479453,Kaiserhammer Forst-Ost,,
09779169,Kaisheim,,
09572137,Kalchreuth,,
09572457,Kalchreuther Forst,,
09777141,Kaltental,,
09774145,Kammeltal,,
09576128,Kammerstein,,
09778180,Kammlach,,
09677146,Karbach,,
09174126,Karlsfeld,,
09185139,Karlshuld,,
09185140,Karlskron,,
09677148,Karlstadt am Main,,
09671114,Karlstein am Main,,
09677149,Karsbach,,
09477124,Kasendorf,,
09171121,Kastl,,
09371132,Kastl,,
09377128,Kastl,,
09762000,Kaufbeuren,,
09181128,Kaufering,,
09775132,Kellmünz an der Iller,,
09471150,Kemmern,,
09377129,Kemnath,,
09763000,Kempten (Allgäu),,
09780451,Kempter Wald,,
09778221,Kettershausen,,
09189126,Kienberg,,
09181129,Kinsau,,
09176138,Kipfenberg,,
09189127,Kirchanschöring,,
09177124,Kirchberg,,
09273139,Kirchdorf,,
09277128,Kirchdorf am Inn,,
09178136,Kirchdorf an der Amper,,
09374128,Kirchendemenreuth,,
09479129,Kirchenlamitz,,
09472156,Kirchenpingarten,,
09374129,Kirchenthumbach,,
09275130,Kirchham,,
09778157,Kirchhaslach,,
09679153,Kirchheim,,
09184131,Kirchheim bei München,,
09778158,Kirchheim in Schwaben,,
09674160,Kirchlauter,,
09278141,Kirchroth,,
09175124,Kirchseeon,,
09171122,Kirchweidach,,
09676131,Kirchzell,,
09771142,Kissing,,
09679154,Kist,,
09675141,Kitzingen,,
09772160,Kleinaitingen,,
09675142,Kleinlangheim,,
09671136,Kleinostheim,,
09474144,Kleinsendelbach,,
09676133,Kleinwallstadt,,
09676134,Klingenberg am Main,,
09772162,Klosterlechfeld,,
09674163,Knetzgau,,
09173133,Kochel am See,,
09187150,Kolbermoor,,
09678150,Kolitzheim,,
09377131,Konnersreuth,,
09475142,Konradsreuth,,
09471456,Koppenwinder Forst,,
09179131,Kottgeisering,,
09777144,Kraftisried,,
09572458,Kraftshofer Forst,,
09183124,Kraiburg am Inn,,
09188127,Krailling,,
09178137,Kranzberg,,
09182124,Kreuth,,
09375452,Kreuther Forst,,
09677151,Kreuzwertheim,,
09476145,Kronach,,
09778161,Kronburg,,
09774150,Krumbach,,
09377132,Krummennaab,,
09274145,Kröning,,
09377133,Kulmain,,
09477128,Kulmbach,,
09274146,Kumhausen,,
09474145,Kunreuth,,
09477129,Kupferberg,,
09772167,Kutzenhausen,,
09475141,Köditz,,
09477127,Ködnitz,,
09473454,Köllnholz,,
09674164,Königsberg in Bayern,,
09471151,Königsfeld,,
09371135,Königstein,,
09176139,Kösching,,
09774148,Kötz,,
09771144,Kühbach,,
09772166,Kühlenthal,,
09371136,Kümmersbruck,,
09271128,Künzing,,
09476146,Küps,,
09679156,Kürnach,,
09375162,Laaber,,
09278144,Laberweinting,,
09778162,Lachen,,
09372138,Lam,,
09777145,Lamerdingen,,
09181130,Landsberg am Lech,,
09179132,Landsberied,,
09577148,Langenaltheim,,
09178138,Langenbach,,
09476453,Langenbacher Forst,,
09575138,Langenfeld,,
09185143,Langenmosen,,
09772168,Langenneufnach,,
09177126,Langenpreising,,
09677459,Langenprozeltener Forst,,
09474146,Langensendelbach,,
09573120,Langenzenn,,
09772170,Langerringen,,
09273141,Langquaid,,
09772171,Langweid am Lech,,
09780125,Lauben,,
09778163,Lauben,,
09676135,Laudenbach,,
09574138,Lauf an der Pegnitz,,
09671139,Laufach,,
09574460,Laufamholzer Forst,,
09172122,Laufen,,
09773143,Laugna,,
09773144,Lauingen,,
09471152,Lauter,,
09373140,Lauterhofen,,
09473141,Lautertal,,
09778164,Lautrach,,
09777147,Lechbruck am See,,
09778165,Legau,,
09278146,Leiblfing,,
09676136,Leidersbach,,
09679200,Leinach,,
09574139,Leinburg,,
09774155,Leipheim,,
09177127,Lengdorf,,
09777149,Lengenwang,,
09173135,Lenggries,,
09176143,Lenting,,
09377137,Leonberg,,
09272455,Leopoldsreuter Wald,,
09374132,Leuchtenberg,,
09475145,Leupoldsgrün,,
09474147,Leutenbach,,
09571175,Lichtenau,,
09478139,Lichtenfels,,
09471457,Lindach,,
09776116,Lindau,,
09776117,Lindenberg im Allgäu,,
09471154,Lisberg,,
09471155,Litzendorf,,
09183125,Lohkirchen,,
09677155,Lohr am Main,,
09279124,Loiching,,
09278147,Loitzendorf,,
09572139,Lonnerstadt,,
09477135,Ludwigschorgast,,
09476152,Ludwigsstadt,,
09773146,Lutzingen,,
09678153,Lülsfeld,,
09776118,Maierhöfen,,
09779176,Maihingen,,
09671140,Mainaschaff,,
09675144,Mainbernheim,,
09273147,Mainburg,,
09477136,Mainleus,,
09675146,Mainstockheim,,
09179134,Maisach,,
09183126,Maitenbeth,,
09275132,Malching,,
09277131,Malgersdorf,,
09278148,Mallersdorf-Pfaffenberg,,
09179136,Mammendorf,,
09186137,Manching,,
09374452,Manteler Forst,,
09679161,Margetshöchheim,,
09278149,Mariaposching,,
09572459,Mark,,
09577149,Markt Berolzheim,,
09575144,Markt Bibart,,
09675148,Markt Einersheim,,
09575145,Markt Erlbach,,
09174131,Markt Indersdorf,,
09575146,Markt Nordheim,,
09778168,Markt Rettenbach,,
09175127,Markt Schwaben,,
09575147,Markt Taschendorf,,
09778169,Markt Wald,,
09575143,Marktbergel,,
09675147,Marktbreit,,
09677157,Marktheidenfeld,,
09171123,Marktl,,
09477138,Marktleugast,,
09479135,Marktleuthen,,
09777151,Marktoberdorf,,
09779177,Marktoffingen,,
09476183,Marktrodach,,
09172124,Marktschellenberg,,
09477139,Marktschorgast,,
09675149,Marktsteft,,
09478144,Marktzeuln,,
09572141,Marloffstein,,
09674171,Maroldsweisach,,
09189129,Marquartstein,,
09475454,Martinlamitzer Forst-Nord,,
09479455,Martinlamitzer Forst-Süd,,
09675150,Martinsheim,,
09779178,Marxheim,,
09178140,Marzling,,
09277133,Massing,,
09178142,Mauern,,
09777152,Mauerstetten,,
09272134,Mauth,,
09272456,Mauther Forst,,
09376141,Maxhütte-Haidhof,,
09672131,Maßbach,,
09773153,Medlingen,,
09473144,Meeder,,
09779180,Megesheim,,
09472164,Mehlmeisel,,
09171124,Mehring,,
09479456,Meierhöfer Seite,,
09577150,Meinheim,,
09772177,Meitingen,,
09673142,Mellrichstadt,,
09673455,Mellrichstadter Forst,,
09471159,Memmelsdorf,,
09764000,Memmingen,,
09778171,Memmingerberg,,
09279127,Mengkofen,,
09771145,Merching,,
09771146,Mering,,
09779181,Mertingen,,
09671141,Mespelbrunn,,
09271132,Metten,,
09183127,Mettenheim,,
09678157,Michelau im Steigerwald,,
09478145,Michelau in Oberfranken,,
09772178,Mickhausen,,
09182125,Miesbach,,
09372143,Miltach,,
09676139,Miltenberg,,
09778173,Mindelheim,,
09780127,Missen-Wilhams,,
09472166,Mistelbach,,
09472167,Mistelgau,,
09571178,Mitteleschenbach,,
09179137,Mittelstetten,,
09180123,Mittenwald,,
